symbol,name,fullname,-,-
000555,神州信息,神州数码信息服务股份有限公司,A,*
000557,西部创业,宁夏西部创业实业股份有限公司,C,*
000558,莱茵体育,莱茵达体育发展股份有限公司,C,*
000559,万向钱潮,万向钱潮股份有限公司,B,*
000560,我爱我家,我爱我家控股集团股份有限公司,B,*
000561,烽火电子,陕西烽火电子股份有限公司,B,*
000563,陕国投A,陕西省国际信托股份有限公司,B,*
000564,*ST大集,供销大集集团股份有限公司,C,*
000565,渝三峡A,重庆三峡油漆股份有限公司,B,*
000566,海南海药,海南海药股份有限公司,C,*
000567,海德股份,海南海德资本管理股份有限公司,B,*
000568,泸州老窖,泸州老窖股份有限公司,A,*
000570,苏常柴A,常柴股份有限公司,B,*
000571,*ST大洲,新大洲控股股份有限公司,D,*
000572,海马汽车,海马汽车股份有限公司,B,*
000573,粤宏远A,东莞宏远工业区股份有限公司,B,*
000576,甘化科工,广东甘化科工股份有限公司,B,*
000581,威孚高科,无锡威孚高科技集团股份有限公司,B,-
000582,北部湾港,北部湾港股份有限公司,A,*
000584,哈工智能,江苏哈工智能机器人股份有限公司,B,*
000585,*ST东电,东北电气发展股份有限公司,C,*
000586,汇源通信,四川汇源光通信股份有限公司,B,*
000587,*ST金洲,金洲慈航集团股份有限公司,D,*
000589,贵州轮胎,贵州轮胎股份有限公司,B,*
000590,启迪药业,启迪药业集团股份公司,B,*
000591,太阳能,中节能太阳能股份有限公司,B,*
000592,平潭发展,中福海峡(平潭)发展股份有限公司,B,*
000593,大通燃气,四川大通燃气开发股份有限公司,B,*
000595,*ST宝实,宝塔实业股份有限公司,C,*
000596,古井贡酒,安徽古井贡酒股份有限公司,B,*
000597,东北制药,东北制药集团股份有限公司,C,*
000598,兴蓉环境,成都市兴蓉环境股份有限公司,A,-
000599,青岛双星,青岛双星股份有限公司,B,*
000600,建投能源,河北建投能源投资股份有限公司,B,*
000601,韶能股份,广东韶能集团股份有限公司,B,*
000603,盛达资源,盛达金属资源股份有限公司,C,*
000605,渤海股份,渤海水业股份有限公司,B,*
000606,ST顺利,顺利办信息服务股份有限公司,C,*
000607,华媒控股,浙江华媒控股股份有限公司,A,*
000608,阳光股份,阳光新业地产股份有限公司,B,*
000609,*ST中迪,北京中迪投资股份有限公司,C,*
000610,西安旅游,西安旅游股份有限公司,B,*
000611,*ST天首,内蒙古天首科技发展股份有限公司,C,*
000612,焦作万方,焦作万方铝业股份有限公司,B,*
000613,*ST东海A,海南大东海旅游中心股份有限公司,B,*
000615,奥园美谷,奥园美谷科技股份有限公司,B,*
000616,ST海投,海航投资集团股份有限公司,C,*
000617,中油资本,中国石油集团资本股份有限公司,A,*
000619,海螺型材,芜湖海螺型材科技股份有限公司,B,-
000620,新华联,新华联文化旅游发展股份有限公司,C,*
000622,恒立实业,恒立实业发展集团股份有限公司,B,*
000623,吉林敖东,吉林敖东药业集团股份有限公司,A,-
000625,长安汽车,重庆长安汽车股份有限公司,B,*
000626,远大控股,远大产业控股股份有限公司,C,*
000627,天茂集团,天茂实业集团股份有限公司,B,*
000628,高新发展,成都高新发展股份有限公司,B,*
000629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,B,*
000630,铜陵有色,铜陵有色金属集团股份有限公司,B,*
000631,顺发恒业,顺发恒业股份公司,B,*
000632,三木集团,福建三木集团股份有限公司,B,*
000633,合金投资,新疆合金投资股份有限公司,C,*
000635,英力特,宁夏英力特化工股份有限公司,B,*
000636,风华高科,广东风华高新科技股份有限公司,B,*
000637,茂化实华,茂名石化实华股份有限公司,C,*
000638,万方发展,万方城镇投资发展股份有限公司,C,*
000639,西王食品,西王食品股份有限公司,B,*
000650,仁和药业,仁和药业股份有限公司,B,*
000651,格力电器,珠海格力电器股份有限公司,B,*
000652,泰达股份,天津泰达股份有限公司,C,*
000655,金岭矿业,山东金岭矿业股份有限公司,B,*
000656,金科股份,金科地产集团股份有限公司,B,*
000657,中钨高新,中钨高新材料股份有限公司,B,*
000659,珠海中富,珠海中富实业股份有限公司,C,*
000661,长春高新,长春高新技术产业(集团)股份有限公司,B,*
000663,*ST永林,福建省永安林业(集团)股份有限公司,C,*
000665,湖北广电,湖北省广播电视信息网络股份有限公司,B,*
000666,经纬纺机,经纬纺织机械股份有限公司,B,*
000667,美好置业,美好置业集团股份有限公司,B,-
000668,荣丰控股,荣丰控股集团股份有限公司,B,*
000669,*ST金鸿,金鸿控股集团股份有限公司,C,*
000671,阳光城,阳光城集团股份有限公司,B,*
000672,上峰水泥,甘肃上峰水泥股份有限公司,B,*
000673,*ST当代,当代东方投资股份有限公司,C,*
000676,智度股份,智度科技股份有限公司,B,*
000677,恒天海龙,恒天海龙股份有限公司,B,*
000678,襄阳轴承,襄阳汽车轴承股份有限公司,B,*
000679,大连友谊,大连友谊(集团)股份有限公司,C,*
000680,山推股份,山推工程机械股份有限公司,B,-
000681,视觉中国,视觉(中国)文化发展股份有限公司,B,*
000682,东方电子,东方电子股份有限公司,B,*
000683,远兴能源,内蒙古远兴能源股份有限公司,B,*
000685,中山公用,中山公用事业集团股份有限公司,A,*
000686,东北证券,东北证券股份有限公司,A,*
000687,*ST华讯,华讯方舟股份有限公司,D,*
000688,国城矿业,国城矿业股份有限公司,B,*
000690,宝新能源,广东宝丽华新能源股份有限公司,B,*
000691,亚太实业,海南亚太实业发展股份有限公司,C,*
000692,惠天热电,沈阳惠天热电股份有限公司,C,*
000695,滨海能源,天津滨海能源发展股份有限公司,B,*
000697,炼石航空,炼石航空科技股份有限公司,C,*
000698,沈阳化工,沈阳化工股份有限公司,B,*
000700,模塑科技,江南模塑科技股份有限公司,C,*
000701,厦门信达,厦门信达股份有限公司,B,*
000702,正虹科技,湖南正虹科技发展股份有限公司,B,*
000703,恒逸石化,恒逸石化股份有限公司,A,*
000705,浙江震元,浙江震元股份有限公司,B,-
000707,*ST双环,湖北双环科技股份有限公司,B,*
000708,中信特钢,中信泰富特钢集团股份有限公司,A,*
000709,河钢股份,河钢股份有限公司,A,-
000710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,B,*
000711,京蓝科技,京蓝科技股份有限公司,C,*
000712,锦龙股份,广东锦龙发展股份有限公司,B,*
000713,丰乐种业,合肥丰乐种业股份有限公司,B,*
000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,B,*
000716,黑芝麻,南方黑芝麻集团股份有限公司,C,*
000717,韶钢松山,广东韶钢松山股份有限公司,B,*
000718,苏宁环球,苏宁环球股份有限公司,B,*
000719,中原传媒,中原大地传媒股份有限公司,B,*
000720,新能泰山,山东新能泰山发电股份有限公司,B,*
000721,西安饮食,西安饮食股份有限公司,B,*
000722,湖南发展,湖南发展集团股份有限公司,B,-
000723,美锦能源,山西美锦能源股份有限公司,B,*
000725,京东方A,京东方科技集团股份有限公司,A,-
000726,鲁泰A,鲁泰纺织股份有限公司,A,*
000727,冠捷科技,冠捷电子科技股份有限公司,B,*
000728,国元证券,国元证券股份有限公司,A,*
000729,燕京啤酒,北京燕京啤酒股份有限公司,A,-
000731,四川美丰,四川美丰化工股份有限公司,B,*
000732,泰禾集团,泰禾集团股份有限公司,C,*
000733,振华科技,中国振华(集团)科技股份有限公司,B,-
000735,罗牛山,罗牛山股份有限公司,B,*
000736,中交地产,中交地产股份有限公司,B,*
000737,南风化工,南风化工集团股份有限公司,B,*
000738,航发控制,中国航发动力控制股份有限公司,B,*
000739,普洛药业,普洛药业股份有限公司,B,*
000750,国海证券,国海证券股份有限公司,A,*
000751,锌业股份,葫芦岛锌业股份有限公司,B,*
000752,*ST西发,西藏发展股份有限公司,D,*
000753,漳州发展,福建漳州发展股份有限公司,B,*
000755,山西路桥,山西路桥股份有限公司,B,*
000756,新华制药,山东新华制药股份有限公司,B,*
000757,浩物股份,四川浩物机电股份有限公司,B,*
000758,中色股份,中国有色金属建设股份有限公司,B,*
000759,中百集团,中百控股集团股份有限公司,B,*
000761,本钢板材,本钢板材股份有限公司,A,*
000762,西藏矿业,西藏矿业发展股份有限公司,B,*
000766,通化金马,通化金马药业集团股份有限公司,C,*
000767,晋控电力,晋能控股山西电力股份有限公司,C,*
000768,中航西飞,中航西安飞机工业集团股份有限公司,A,*
000776,广发证券,广发证券股份有限公司,B,*
000777,中核科技,中核苏阀科技实业股份有限公司,A,*
000778,新兴铸管,新兴铸管股份有限公司,A,*
000779,甘咨询,甘肃工程咨询集团股份有限公司,B,*
000780,*ST平能,内蒙古平庄能源股份有限公司,C,*
000782,美达股份,广东新会美达锦纶股份有限公司,C,*
000783,长江证券,长江证券股份有限公司,A,*
000785,居然之家,居然之家新零售集团股份有限公司,B,*
000786,北新建材,北新集团建材股份有限公司,B,*
000788,北大医药,北大医药股份有限公司,C,*
000789,万年青,江西万年青水泥股份有限公司,B,*
000790,华神科技,成都华神科技集团股份有限公司,B,*
000791,甘肃电投,甘肃电投能源发展股份有限公司,A,*
000793,华闻集团,华闻传媒投资集团股份有限公司,C,*
000795,英洛华,英洛华科技股份有限公司,B,*
000796,凯撒旅业,凯撒同盛发展股份有限公司,C,*
000797,中国武夷,中国武夷实业股份有限公司,B,*
000798,中水渔业,中水集团远洋股份有限公司,B,*
000799,酒鬼酒,酒鬼酒股份有限公司,B,*
000800,一汽解放,一汽解放集团股份有限公司,B,*
000801,四川九洲,四川九洲电器股份有限公司,B,*
000802,ST北文,北京京西文化旅游股份有限公司,C,*
000803,北清环能,北清环能集团股份有限公司,B,*
000806,*ST银河,北海银河生物产业投资股份有限公司,D,*
000807,云铝股份,云南铝业股份有限公司,B,*
000809,铁岭新城,铁岭新城投资控股(集团)股份有限公司,B,*
000810,创维数字,创维数字股份有限公司,B,*
000811,冰轮环境,冰轮环境技术股份有限公司,B,-
000812,陕西金叶,陕西金叶科教集团股份有限公司,B,*
000813,德展健康,德展大健康股份有限公司,C,*
000815,美利云,中冶美利云产业投资股份有限公司,B,*
000816,智慧农业,江苏农华智慧农业科技股份有限公司,B,*
000818,航锦科技,航锦科技股份有限公司,C,*
000819,岳阳兴长,岳阳兴长石化股份有限公司,B,*
000820,*ST节能,神雾节能股份有限公司,D,*
000821,京山轻机,湖北京山轻工机械股份有限公司,C,*
000822,山东海化,山东海化股份有限公司,B,*
000823,超声电子,广东汕头超声电子股份有限公司,A,*
000825,太钢不锈,山西太钢不锈钢股份有限公司,C,-
000826,启迪环境,启迪环境科技发展股份有限公司,B,*
000828,东莞控股,东莞发展控股股份有限公司,B,-
000829,天音控股,天音通信控股股份有限公司,B,*
000830,鲁西化工,鲁西化工集团股份有限公司,A,-
000831,五矿稀土,五矿稀土股份有限公司,B,*
000833,粤桂股份,广西粤桂广业控股股份有限公司,B,*
000835,*ST长动,长城国际动漫游戏股份有限公司,D,*
000836,富通信息,天津富通信息科技股份有限公司,B,*
000837,秦川机床,秦川机床工具集团股份公司,B,*
000838,财信发展,财信地产发展集团股份有限公司,B,*
000839,中信国安,中信国安信息产业股份有限公司,B,*
000848,承德露露,河北承德露露股份有限公司,B,*
000850,华茂股份,安徽华茂纺织股份有限公司,B,*
000851,高鸿股份,大唐高鸿数据网络技术股份有限公司,C,*
000852,石化机械,中石化石油机械股份有限公司,B,*
000856,冀东装备,唐山冀东装备工程股份有限公司,B,*
000858,五粮液,宜宾五粮液股份有限公司,A,*
000859,国风塑业,安徽国风塑业股份有限公司,B,*
000860,顺鑫农业,北京顺鑫农业股份有限公司,B,*
000861,海印股份,广东海印集团股份有限公司,D,*
000862,银星能源,宁夏银星能源股份有限公司,B,*
000863,三湘印象,三湘印象股份有限公司,C,*
000868,安凯客车,安徽安凯汽车股份有限公司,B,*
000869,张裕A,烟台张裕葡萄酿酒股份有限公司,B,*
000875,吉电股份,吉林电力股份有限公司,B,*
000876,新希望,新希望六和股份有限公司,A,*
000877,天山股份,新疆天山水泥股份有限公司,A,*
000878,云南铜业,云南铜业股份有限公司,B,*
000880,潍柴重机,潍柴重机股份有限公司,B,*
000881,中广核技,中广核核技术发展股份有限公司,B,*
000882,华联股份,北京华联商厦股份有限公司,B,*
000883,湖北能源,湖北能源集团股份有限公司,B,*
000885,城发环境,城发环境股份有限公司,B,*
000886,海南高速,海南高速公路股份有限公司,B,*
000887,中鼎股份,安徽中鼎密封件股份有限公司,B,*
000888,峨眉山A,峨眉山旅游股份有限公司,A,*
000889,中嘉博创,中嘉博创信息技术股份有限公司,B,*
000890,法尔胜,江苏法尔胜股份有限公司,B,*
000892,欢瑞世纪,欢瑞世纪联合股份有限公司,D,*
000893,亚钾国际,亚钾国际投资(广州)股份有限公司,B,*
000895,双汇发展,河南双汇投资发展股份有限公司,A,*
000897,津滨发展,天津津滨发展股份有限公司,B,*
000898,鞍钢股份,鞍钢股份有限公司,B,*
